id,submit_time,men,women,1_14,15_24,25_49,50_64,65+,education,farm,income,message1946,message1964,message1981,message2012,trans1946,trans1964,trans1981,trans2012,insurance,experience,1904,1946,1964,1981,2012,levee,report,maner,location_code
548,2018-03-22 11:30:00,2,1,0,1,2,0,0,vocational college,True,"＞50,000",null,null,null,mobile phone,null,null,null,null,True,flooding; inundation,do not know,do not know,do not know,do not know,experienced,7,8,6,D 
549,2018-03-22 11:32:00,1,2,0,1,0,0,2,junior high school,True,"＜5,000",null,null,null,null,null,null,null,null,False,flooding,heard of somewhere,do not know,experienced,experienced,heard from intimates,6,6,6,D 
550,2018-03-22 11:33:00,2,2,0,1,1,2,0,junior high school,True,"20,000~50,000",null,null,fixed telephone,mobile phone; network,null,null,bycycle; motor,motor,True,null,do not know,do not know,heard of somewhere,heard of somewhere,do not know,10,10,9,D 
551,2018-03-22 11:34:00,2,2,0,0,2,2,0,college or higher,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle; motor,car,True,null,do not know,do not know,do not know,heard of somewhere,do not know,6,3,5,D 
552,2018-03-22 11:36:00,3,2,1,0,0,4,0,senior high school,True,"20,000~50,000",null,null,null,mobile phone,null,null,null,motor,True,flooding,do not know,do not know,do not know,experienced,do not know,8,8,8,D 
553,2018-03-22 11:37:00,3,2,1,1,1,2,0,senior high school,True,"＞50,000",null,null,null,mobile phone; network,null,null,bycycle,bycycle; motor,True,null,do not know,do not know,do not know,do not know,do not know,10,10,10,D 
554,2018-03-22 12:49:00,3,3,2,0,2,2,0,junior high school,True,"10,000~20,000",null,null,null,fixed telephone; mobile phone,null,null,bycycle,bycycle; motor,True,flooding,do not know,do not know,do not know,heard from intimates,do not know,10,10,1,D 
555,2018-03-22 12:51:00,1,1,0,0,1,1,0,elementary school,True,"5,000~10,000",null,null,null,mobile phone,null,null,bycycle,motor,True,flooding; inundation,do not know,do not know,do not know,do not know,heard of somewhere,5,5,5,D 
556,2018-03-22 12:52:00,2,1,1,0,0,2,0,elementary school,True,"5,000~10,000",null,null,null,mobile phone,null,null,null,motor,True,flooding,do not know,do not know,do not know,do not know,experienced,5,10,10,D 
557,2018-03-22 12:54:00,3,2,2,0,2,1,0,junior high school,True,"5,000~10,000",null,null,null,mobile phone,null,bycycle,bycycle,car,True,flooding,do not know,do not know,heard of somewhere,heard of somewhere,experienced,10,10,10,D 
